drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Gold,,Beige,"Madison, WI",Mazda,"179,982",Mazda6,5dr Wagon s Auto,,2005 Mazda Mazda6,"$3,635",,https://www.truecar.com/used-cars-for-sale/listing/1YVHP82D755M67420/2005-mazda-mazda6/,1YVHP82D755M67420,2005
,,Silver,,Black,"MADISON, WI",Mazda,"41,226",CX-5,Touring AWD Automatic,,2016 Mazda CX-5,"$19,577",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4CY1G0737874/2016-mazda-cx-5/,JM3KE4CY1G0737874,2016
,,Dark Blue,,Black,"Palatine, IL",Mazda,"106,499",CX-7,FWD 4dr i Touring,,2011 Mazda CX-7,"$8,500",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2CM2B0403705/2011-mazda-cx-7/,JM3ER2CM2B0403705,2011
,,Black,,Black,"Arlington Heights, IL",Mazda,"85,997",CX-7,FWD 4dr i Touring,,2012 Mazda CX-7,"$10,895",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2C55C0416278/2012-mazda-cx-7/,JM3ER2C55C0416278,2012
,,Crystal White Pearl Mica,,,"Waukesha, WI",Mazda,"17,502",Mazda3,i SV 4-Door automatic,,2013 Mazda Mazda3,"$14,786",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1TG1D1834504/2013-mazda-mazda3/,JM1BL1TG1D1834504,2013
,,Slate Metallic,,Ash,"West Allis, WI",Toyota,"18,218",Corolla,LE Automatic,,2017 Toyota Corolla,"$14,979",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHEXHC888484/2017-toyota-corolla/,2T1BURHEXHC888484,2017
,,Classic Silver Metallic,,Ash,"West Allis, WI",Toyota,"24,917",Corolla,LE,,2015 Toyota Corolla,"$12,995",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE7FC466332/2015-toyota-corolla/,2T1BURHE7FC466332,2015
,,Barcelona Red Metallic,,Ash,"West Allis, WI",Toyota,"32,014",Corolla,LE,,2015 Toyota Corolla,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE2FC296056/2015-toyota-corolla/,2T1BURHE2FC296056,2015
,,Basque Red Pearl,,Taupe,"Milwaukee, WI",Acura,"70,223",TSX,Automatic,,2012 Acura TSX Sport Wagon,"$13,599",,https://www.truecar.com/used-cars-for-sale/listing/JH4CW2H5XCC003447/2012-acura-tsx-sport-wagon/,JH4CW2H5XCC003447,2012
,,Crystal Black Pearl,,Ebony,"Hoffman Estates, IL",Acura,"97,877",TSX,4dr Sedan I4 Auto,,2011 Acura TSX,"$10,939",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F64BC001063/2011-acura-tsx/,JH4CU2F64BC001063,2011
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"121,365",TSX,Automatic with Technology Package,,2012 Acura TSX,"$12,786",,https://www.truecar.com/used-cars-for-sale/listing/JH4CU2F64CC005065/2012-acura-tsx/,JH4CU2F64CC005065,2012
,,Metallic Blue,,Charcoal,"Madison, WI",Nissan,"12,617",Versa,S Plus Automatic,,2017 Nissan Versa Sedan,"$10,395",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP4HL819663/2017-nissan-versa-sedan/,3N1CN7AP4HL819663,2017
,,White,,Charcoal,"Madison, WI",Nissan,"6,682",Versa,S Automatic,,2017 Nissan Versa Sedan,"$10,895",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP7HL818829/2017-nissan-versa-sedan/,3N1CN7AP7HL818829,2017
